File,Cultivar,Sample_Num,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18
2025-12-11_GH34_CAB_004.jpg,CAB,4,327.965,296.155,267.493,184.097,101.032,63.542,31.937,7.005,5.569,2.187,1.269,0.276,0.089,,,,,
2025-12-11_GH34_CAB_031.jpg,CAB,31,477.383,465.615,361.382,239.047,176.668,98.46,81.035,29.602,12.083,8.807,2.635,1.954,1.039,0.213,,,,
2025-12-11_GH34_CAB_065.jpg,CAB,65,418.445,344.671,310.548,238.429,110.62,91.727,41.188,24.45,19.965,7.338,4.492,0.564,0.279,0.133,,,,
2025-12-11_GH34_CAB_083.jpg,CAB,83,481.922,467.065,404.444,253.444,227.306,97.743,49.707,10.217,7.898,4.579,1.187,0.392,0.108,,,,,
2025-12-11_GH34_FLB_027.jpg,FLB,27,539.274,514.99,511.62,382.056,305.217,158.719,95.884,54.09,38.93,34.788,8.71,6.193,4.339,1.155,0.697,0.304,,
2025-12-11_GH34_FLB_034.jpg,FLB,34,373.906,317.213,211.445,173.355,85.113,62.097,31.032,4.17,3.478,3.468,1.074,0.297,0.144,,,,,
2025-12-11_GH34_FLB_051.jpg,FLB,51,482.21,422.874,405.004,393.15,195.834,83.875,81.179,69.409,51.808,24.175,6.282,5.655,2.304,2.255,2.023,1.373,0.421,0.312
2025-12-11_GH34_FLB_100.jpg,FLB,100,577.143,493.588,475.833,451.529,304.823,175.098,87.997,30.731,7.631,5.761,1.761,0.938,0.457,0.208,,,,
2025-12-11_GH34_SGC_047.jpg,SGC,47,283.47,273.084,258.32,220.69,139.235,117.761,100.386,64.417,31.288,28.012,4.869,4.2,3.016,2.975,0.983,0.627,0.397,0.231
2025-12-11_GH34_SGC_062.jpg,SGC,62,397.214,371.451,349.257,229.901,191.518,106.73,82.985,50.949,37.351,24.404,10.896,3.318,3.225,1.241,0.655,0.32,0.162,
2025-12-11_GH34_SGC_092.jpg,SGC,92,332.273,233.804,209.473,204.245,130.496,64.083,61.492,38.547,7.639,4.323,3.531,2.975,1.169,0.312,0.235,,,
2025-12-11_GH34_SGC_115.jpg,SGC,115,310.807,271.853,257.294,211.209,175.586,99.153,66.034,47.559,38.281,12.444,4.241,4.116,1.473,0.873,0.365,0.264,,
